ZIP,city,state_id,state_name,population,density,MSA_Name,UHII
94301,Palo Alto,CA,California,17126.0,2789.8,"San Jose-Sunnyvale-Santa Clara, CA",1.47440916555859
94303,Palo Alto,CA,California,47123.0,2156.0,,1.83722633158284
94304,Palo Alto,CA,California,4731.0,380.0,"San Jose-Sunnyvale-Santa Clara, CA",4.54981857957145
94305,Stanford,CA,California,17912.0,1447.0,"San Jose-Sunnyvale-Santa Clara, CA",0.377307207354122
94306,Palo Alto,CA,California,27527.0,2601.5,"San Jose-Sunnyvale-Santa Clara, CA",0.272161627223373
94401,San Mateo,CA,California,35628.0,4422.2,,1.98077448388134
94402,San Mateo,CA,California,25498.0,1948.2,,2.26796722605814
94403,San Mateo,CA,California,43459.0,2979.0,,4.54596747969086
94404,San Mateo,CA,California,35950.0,3190.9,,1.33999711988951
94501,Alameda,CA,California,63517.0,3075.8,,2.8129022493246
94502,Alameda,CA,California,13359.0,2045.1,,-1.05074332109029
94506,Danville,CA,California,27261.0,564.2,,2.54700280791512
94507,Alamo,CA,California,14546.0,501.5,,1.07579378128754
94509,Antioch,CA,California,71013.0,1571.8,,3.7155453319238
94513,Brentwood,CA,California,68160.0,333.7,,5.9649672968343
94517,Clayton,CA,California,12164.0,98.4,,3.98124516331166
94518,Concord,CA,California,27743.0,1933.2,,4.76390553221559
94519,Concord,CA,California,19918.0,1695.4,,4.63145213474758
94520,Concord,CA,California,36767.0,1438.0,,4.78057044364589
94521,Concord,CA,California,41118.0,1639.6,,4.84326044469858
94523,Pleasant Hill,CA,California,34789.0,1864.1,,3.36564869753052
94525,Crockett,CA,California,3665.0,577.0,,-0.153640736997978
94526,Danville,CA,California,33085.0,969.9,,1.53225723907804
94528,Diablo,CA,California,1000.0,334.6,,1.871430654
94530,El Cerrito,CA,California,26229.0,2338.6,,0.798512282621088
94531,Antioch,CA,California,44746.0,1231.6,,5.5912947588143
94536,Fremont,CA,California,70707.0,1939.3,,6.79043506676994
94538,Fremont,CA,California,67704.0,1580.7,,8.74635081037914
94539,Fremont,CA,California,52609.0,810.1,,8.50434441010203
